Municipality,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +
Kitchener East,752,974,1168,1321
Kitchener Central,774,959,1176,1599
Kitchener West,797,1044,1264,1336
Waterloo,1032,1197,1354,1337
