Ward,Community
W01,"Beechwood West, Upper Beechwood, Westvale"
W02,"Clair Creek Meadows, Clair Hills, Erbsville, Laurelwood, Vista Hills"
W03,"Lakeshore, Lakeshore North/Conservation Meadows, Parkdale"
W04,"Colonial Acres, Rural East Country Squire, Glenridge, Eastbridge"
W05,"Lexington and University Downs, Lincoln Heights, Lincoln Village"
W06,"Beechwood, Uptown Waterloo North, Maple Hills"
W07,"Uptown Waterloo South, Westmount"
